Recording filename,DIV group,Genotype
MPT190403_2B_DIV28,28,HET
MPT190403_6B_DIV21,21,WT
MPT190515_4C_DIV14,14,HET
MPT200108_4B_DIV28,28,KO
MPT200115_2B_DIV35,35,KO
MPT200205_4A_DIV14,14,WT
MPT190528_2B_DIV28,28,WT
MPT190403_2B_DIV21,21,WT
